iteration,model,seed,sampling,Train_F1-score,Val_F1-score,Train_Recall,Val_Recall,Train_Precision,Val_Precision,Train_Accuracy,Val_Accuracy
0,AdaBoost,94,base,0.5187,0.513,0.5533,0.5437,0.5261,0.5317,0.5533,0.5437
0,AdaBoost,94,undersampling,0.4855,0.4267,0.4959,0.4333,0.4874,0.4297,0.4959,0.4333
0,RandomForest,94,base,0.3978,0.3785,0.4133,0.3992,0.3898,0.3674,0.4133,0.3992
0,RandomForest,94,undersampling,0.497,0.4272,0.502,0.4333,0.4986,0.4246,0.502,0.4333
0,SVM,94,base,0.4652,0.4695,0.5019,0.5019,0.4678,0.4651,0.5019,0.5019
0,SVM,94,undersampling,0.4656,0.4457,0.4722,0.4556,0.4672,0.4487,0.4722,0.4556
0,GradientBoosting,94,base,0.5232,0.5159,0.5343,0.5285,0.5233,0.5298,0.5343,0.5285
0,GradientBoosting,94,undersampling,0.5333,0.44,0.5396,0.4444,0.5341,0.4448,0.5396,0.4444
0,LogisticRegression,94,base,0.4646,0.4836,0.5048,0.5247,0.4592,0.4782,0.5048,0.5247
0,LogisticRegression,94,undersampling,0.4824,0.4728,0.486,0.4889,0.4825,0.4726,0.486,0.4889
0,XGBoost,94,base,0.4516,0.4584,0.459,0.4677,0.4499,0.4636,0.459,0.4677
0,XGBoost,94,undersampling,0.4974,0.4326,0.4979,0.4333,0.5004,0.4328,0.4979,0.4333
0,Lgbm,94,base,0.4365,0.4848,0.4429,0.4905,0.4335,0.5,0.4429,0.4905
0,Lgbm,94,undersampling,0.4994,0.407,0.5019,0.4111,0.501,0.407,0.5019,0.4111
0,KNN,94,base,0.4484,0.4411,0.4752,0.4601,0.4537,0.4309,0.4752,0.4601
0,KNN,94,undersampling,0.4539,0.3949,0.4564,0.4,0.4706,0.4023,0.4564,0.4
1,AdaBoost,49,base,0.5287,0.5189,0.559,0.5589,0.5274,0.5145,0.559,0.5589
1,AdaBoost,49,undersampling,0.4375,0.562,0.4468,0.5778,0.4431,0.5679,0.4468,0.5778
1,RandomForest,49,base,0.3869,0.3439,0.4048,0.3574,0.3756,0.3358,0.4048,0.3574
1,RandomForest,49,undersampling,0.3975,0.4309,0.3987,0.4296,0.4029,0.4456,0.3987,0.4296
1,SVM,49,base,0.4464,0.4562,0.4895,0.5057,0.4584,0.5254,0.4895,0.5057
1,SVM,49,undersampling,0.4427,0.4925,0.4619,0.5111,0.4438,0.4898,0.4619,0.5111
